id,code,short_name,full_name,list_status_id,list_status,issuer,company_code,exchange_code,exchange,currency_id,coupon_type_id,coupon_type,coupon_frequency,payment_type_id,payment_type,par,repayment_period,bond_type_id,bond_type,bond_form_id,bond_form,list_date,delist_Date,interest_begin_date,maturity_date,interest_date,last_cash_date,cash_comment,maturity
17902,0801072,08央行票据72,2008年第七十二期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2008-06-20,2008-09-16,2008-06-20,2008-09-19,,2008-09-19,,91 days
17904,0801075,08央行票据75,2008年第七十五期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2008-06-27,2008-09-23,2008-06-27,2008-09-26,,2008-09-26,,91 days
17915,0801079,08央行票据79,2008年第七十九期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2008-07-11,2008-10-07,2008-07-11,2008-10-10,,2008-10-10,,91 days
17924,0801077,08央行票据77,2008年第七十七期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2008-07-04,2008-09-26,2008-07-04,2008-10-03,,2008-10-03,,91 days
17957,0801082,08央行票据82,2008年第八十二期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2008-07-18,2008-10-14,2008-07-18,2008-10-17,,2008-10-17,,91 days
17976,0801085,08央行票据85,2008年第八十五期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2008-07-25,2008-10-21,2008-07-25,2008-10-24,,2008-10-24,,91 days
18025,0801088,08央行票据88,2008年第八十八期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2008-08-01,2008-10-28,2008-08-01,2008-10-31,,2008-10-31,,91 days
18033,0801090,08央行票据90,2008年第九十期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2008-08-08,2008-11-04,2008-08-08,2008-11-07,,2008-11-07,,91 days
18048,0801093,08央行票据93,2008年第九十三期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2008-08-15,2008-11-11,2008-08-15,2008-11-14,,2008-11-14,,91 days
18075,0801096,08央行票据96,2008年第九十六期中央银行票据,301006,终止上市,中国人民银行,,705007,银行间债券市场,人民币,701005,贴现,,,,100.0,3,703019,央行票据,704001,记账式,2008-08-22,2008-11-18,2008-08-22,2008-11-21,,2008-11-21,,91 days
