,0
0,601169.SH
1,601236.SH
2,601258.SH
3,601398.SH
4,601611.SH
5,601766.SH
6,601860.SH
7,601939.SH
8,601968.SH
9,601998.SH
10,603021.SH
11,603030.SH
12,603068.SH
13,603189.SH
14,603203.SH
15,603321.SH
16,603326.SH
17,603559.SH
18,603567.SH
19,603628.SH
20,603808.SH
21,603861.SH
22,603895.SH
23,605020.SH
24,605598.SH
25,688006.SH
26,688051.SH
27,688086.SH
28,688235.SH
29,688323.SH
30,688328.SH
31,688329.SH
32,688500.SH
33,688682.SH
34,688711.SH
35,688981.SH
36,833874.BJ
37,833994.BJ
38,689009.SH
39,000007.SZ
40,000008.SZ
41,000021.SZ
42,000029.SZ
43,000030.SZ
44,000035.SZ
45,000038.SZ
46,000050.SZ
47,000070.SZ
48,000088.SZ
49,000096.SZ
50,000166.SZ
51,000338.SZ
52,000407.SZ
53,000410.SZ
54,000411.SZ
55,000413.SZ
56,000416.SZ
57,000419.SZ
58,000420.SZ
59,000425.SZ
60,000426.SZ
61,000488.SZ
62,000502.SZ
63,000503.SZ
64,000504.SZ
65,000507.SZ
66,000523.SZ
67,000524.SZ
68,000525.SZ
69,000531.SZ
70,000533.SZ
71,000540.SZ
72,000541.SZ
73,000564.SZ
74,000570.SZ
75,000571.SZ
76,000573.SZ
77,000587.SZ
78,000593.SZ
79,000605.SZ
80,000606.SZ
81,000607.SZ
82,000611.SZ
83,000613.SZ
84,000615.SZ
85,000616.SZ
86,000623.SZ
87,000627.SZ
88,000638.SZ
89,000639.SZ
90,000651.SZ
91,000668.SZ
92,000673.SZ
93,000679.SZ
94,000680.SZ
95,000697.SZ
96,000700.SZ
97,000702.SZ
98,000712.SZ
99,000716.SZ
100,000735.SZ
101,000758.SZ
102,000783.SZ
103,000786.SZ
104,000790.SZ
105,000796.SZ
106,000800.SZ
107,000806.SZ
108,000813.SZ
109,000820.SZ
110,000821.SZ
111,000830.SZ
112,000839.SZ
113,000863.SZ
114,000869.SZ
115,000876.SZ
116,000880.SZ
117,000881.SZ
